Hora_Inicio	Hora_Fin	Duracion	Momento	Estacion	Distancia_(Km)	Ritmo Promedio_(Min/Km)	Velocidad Max_(Km/Hr)	Calorias 
08/01/2020 18:14	08/01/2020 18:57	43.00	Tarde	Verano	8.20	5.2	14.1	624
10/01/2020 19:00	10/01/2020 19:41	41.00	Tarde	Verano	6.65	5.19	14.2	533
14/01/2020 19:05	14/01/2020 19:38	33.00	Tarde	Verano	4.42	6.33	12.6	326
00/01/1900 20:10	00/01/1900 20:53	43.00	Noche	Verano	6.41	5.52	14.4	491
16/01/2020 11:48	16/01/2020 12:36	48.00	Mañana	Verano	7.08	5.16	13.5	563
24/03/2020 18:54	24/03/2020 19:39	45.00	Tarde	Otoño	0.85	28.46	7.9	503
24/03/2020 18:08	24/03/2020 18:54	46.00	Tarde	Otoño	1.46	21.52	7.1	595
30/03/2020 17:46	30/03/2020 18:01	15.00	Tarde	Otoño	1.23	8.24	11.1	86
31/07/2020 16:32	31/07/2020 16:54	22.00	Tarde	Invierno	2.18	7.53	11.4	158
04/08/2020 18:19	04/08/2020 18:40	21.00	Tarde	Invierno	1.82	8.9	11.9	128
10/08/2020 17:54	10/08/2020 18:17	23.00	Tarde	Invierno	2.11	8.13	10.9	150
20/08/2020 11:13	20/08/2020 11:27	14.00	Mañana	Invierno	1.40	7.29	10.7	99
20/08/2020 12:06	20/08/2020 12:21	15.00	Mediodia	Invierno	2.24	6.17	12.6	146
22/08/2020 10:06	22/08/2020 11:39	33.00	Mañana	Invierno	11.90	6.23	12.1	908
23/08/2020 13:33	23/08/2020 13:45	12.00	Mediodia	Invierno	1.76	6.51	10.3	123
27/08/2020 11:50	27/08/2020 12:02	12.00	Mañana	Invierno	1.32	7.18	10.6	77
05/09/2020 17:00	05/09/2020 18:15	15.00	Tarde	Invierno	10.34	7.17	13.2	734
06/09/2020 12:37	06/09/2020 13:18	41.00	Mediodia	Invierno	6.60	6.18	12.6	487
15/09/2020 18:30	15/09/2020 19:30	59.00	Tarde	Invierno	7.85	6.39	13.8	572
19/09/2020 11:59	19/09/2020 13:17	18.00	Mañana	Invierno	8.89	7.36	10.8	630
20/09/2020 12:25	20/09/2020 13:00	35.00	Mediodia	Invierno	3.98	7.49	10.1	275
20/09/2020 13:00	20/09/2020 13:30	30.00	Mediodia	Invierno	3.81	8.37	10.2	277
24/09/2020 11:44	24/09/2020 12:37	53.00	Mañana	Primavera	6.83	6.36	10.8	513
25/09/2020 12:08	25/09/2020 13:06	58.00	Mediodia	Primavera	8.80	6.32	12.4	668
03/10/2020 17:50	03/10/2020 18:56	6.00	Tarde	Primavera	9.15	6.12	12.1	695
08/10/2020 19:43	08/10/2020 20:45	60.00	Tarde	Primavera	8.45	5.54	11.9	668
10/10/2020 12:38	10/10/2020 12:54	16.00	Mediodia	Primavera	2.78	5.40	11.2	200
10/10/2020 12:56	10/10/2020 13:14	18.00	Mediodia	Primavera	3.20	5.52	10.8	229
15/10/2020 12:25	15/10/2020 13:11	46.00	Mediodia	Primavera	6.14	6.15	11.7	460
26/10/2020 12:06	26/10/2020 12:57	51.00	Mediodia	Primavera	6.16	6.40	11.6	461
04/11/2020 12:35	04/11/2020 13:27	52.00	Mediodia	Primavera	6.33	6.37	11.8	479
05/11/2020 11:17	05/11/2020 12:01	44.00	Mañana	Primavera	5.47	6.19	13	399
07/11/2020 12:33	07/11/2020 13:26	53.00	Mediodia	Primavera	6.21	6.42	11.7	472
21/11/2020 16:56	21/11/2020 17:34	38.00	Tarde	Primavera	6.16	6.12	13	472
30/11/2020 12:22	30/11/2020 12:43	21.00	Mediodia	Primavera	3.44	6.9	10.5	268
30/11/2020 12:46	30/11/2020 13:10	24.00	Mediodia	Primavera	3.28	7.18	10.7	236
01/12/2020 11:57	01/12/2020 12:14	17.00	Mañana	Primavera	3.01	5.53	11.4	227
06/12/2020 08:43	06/12/2020 09:22	39.00	Mañana	Primavera	5.60	5.58	13.6	409
08/12/2020 10:12	08/12/2020 10:35	23.00	Mañana	Primavera	3.06	6.10	12	216
15/12/2020 19:46	15/12/2020 20:32	46.00	Tarde	Primavera	6.86	6.45	12.3	506
16/12/2020 11:18	16/12/2020 11:55	37.00	Mañana	Primavera	5.92	6.19	11.6	462
17/12/2020 17:40	17/12/2020 18:01	21.00	Tarde	Primavera	2.65	6.20	11.3	205
19/12/2020 11:24	19/12/2020 11:54	30.00	Mañana	Primavera	3.45	7.5	11.3	255
27/12/2020 19:31	27/12/2020 20:43	12.00	Tarde	Verano	7.02	7.47	11.6	516
28/12/2020 19:28	28/12/2020 20:20	52.00	Tarde	Verano	6.70	6.38	12.1	494
30/12/2020 19:06	30/12/2020 19:32	26.00	Tarde	Verano	4.02	6.40	10.5	285
10/01/2021 18:36	10/01/2021 19:20	44.00	Tarde	Verano	6.70	6.34	11.9	506
11/01/2021 16:33	11/01/2021 17:54	21.00	Tarde	Verano	10.06	8.0	11.2	689
12/01/2021 17:51	12/01/2021 18:16	25.00	Tarde	Verano	3.70	6.47	11.2	272
14/01/2021 17:41	14/01/2021 18:04	23.00	Tarde	Verano	3.19	6.20	11.7	220
16/01/2021 11:16	16/01/2021 11:47	31.00	Mañana	Verano	3.52	6.59	12.2	266
16/01/2021 12:11	16/01/2021 12:50	39.00	Mediodia	Verano	4.43	7.23	12.1	312
17/01/2021 18:59	17/01/2021 19:42	43.00	Tarde	Verano	4.03	7.48	12.7	299
23/01/2021 10:03	23/01/2021 10:34	31.00	Mañana	Verano	3.34	7.8	11.4	253
28/01/2021 09:26	28/01/2021 10:18	52.00	Mañana	Verano	5.98	6.52	12.1	441
02/02/2021 18:01	02/02/2021 18:54	53.00	Tarde	Verano	6.57	6.58	12.7	484
03/02/2021 17:48	03/02/2021 18:39	51.00	Tarde	Verano	6.47	6.48	11.6	480
04/02/2021 17:54	04/02/2021 18:11	17.00	Tarde	Verano	2.53	5.51	11.3	186
06/02/2021 19:21	06/02/2021 19:34	13.00	Tarde	Verano	2.13	6.31	10.3	151
07/02/2021 18:39	07/02/2021 19:52	13.00	Tarde	Verano	8.49	7.50	11.1	587
09/02/2021 18:21	09/02/2021 18:36	15.00	Tarde	Verano	2.46	5.55	12.8	74
09/02/2021 18:39	09/02/2021 18:51	12.00	Tarde	Verano	1.95	6.5	12.4	99
10/02/2021 19:29	10/02/2021 20:01	32.00	Tarde	Verano	3.49	7.25	12.1	257
